generation,frame,population_size,average_fitness,best_fitness,worst_fitness,average_lifespan,best_lifespan,average_food_eaten,average_distance_traveled,average_spike_hits,behavioral_diversity_score,average_weight_magnitude,weight_std,convergence_score,mutation_rate,mutation_strength,recurrent_memory_usage
1,1735,32,0.1924,0.3794,0.0256,1199.3,1735,0.44,1077.1,0.91,0.3793,0.4872,0.5656,0.0207,0.05,0.2,0
2,2330,38,0.2235,0.5754,0.0256,1339.7,2330,0.74,1323.2,0.89,0.3782,0.4866,0.5656,0.0203,0.05,0.2,0
3,3000,56,0.3329,0.9843,0.0256,1822.6,3000,2.11,1878.7,0.71,0.3789,0.4873,0.5667,0.0205,0.05,0.2,0
4,3474,62,0.32,0.9843,0.0256,1779.5,3000,1.92,1752.8,0.69,0.3623,0.4859,0.5656,0.0216,0.05,0.2,0
5,4128,68,0.3119,0.9843,0.0256,1740.3,3000,1.78,1781.5,0.65,0.363,0.4876,0.567,0.0275,0.05,0.2,0
6,4790,74,0.3047,0.9843,0.0256,1704.5,3000,1.66,1805.5,0.62,0.3871,0.4879,0.5674,0.0277,0.05,0.2,0
7,5085,2,0.0421,0.0476,0.0365,257.5,295,0.0,386.0,2.0,0.0523,0.4933,0.5742,0.0,0.05,0.2,0
8,5651,86,0.2979,0.9843,0.0256,1675.3,3000,1.58,1760.5,0.67,0.3542,0.4884,0.5681,0.0353,0.05,0.2,0
9,6000,1,0.0557,0.0557,0.0557,327.0,327,0.0,605.1,2.0,0.0,0.4953,0.5769,0.0,0.05,0.2,0
10,6938,103,0.3294,0.9843,0.0256,1779.7,3000,2.43,1913.7,0.74,0.3415,0.4885,0.5683,0.0333,0.05,0.2,0
11,7128,109,0.3412,0.9843,0.0256,1820.7,3000,2.61,1988.6,0.74,0.3619,0.4884,0.5683,0.0369,0.05,0.2,0
12,7464,115,0.3327,0.9843,0.0256,1787.6,3000,2.48,1935.8,0.72,0.3389,0.489,0.5688,0.0247,0.05,0.2,0
13,8014,121,0.3364,0.9843,0.0256,1796.2,3000,2.55,1954.7,0.8,0.3625,0.4887,0.5686,0.0372,0.05,0.2,0
14,8609,127,0.3327,0.9843,0.0256,1779.4,3000,2.47,1968.9,0.77,0.391,0.4887,0.5687,0.0344,0.05,0.2,0
15,9000,134,0.3494,0.9843,0.0256,1829.7,3000,2.78,2064.6,0.75,0.3485,0.4883,0.5684,0.0296,0.05,0.2,0
16,9938,1,0.1126,0.1126,0.1126,674.0,674,0.0,1135.8,1.0,0.0,0.4937,0.5759,0.0,0.05,0.2,0
17,10180,149,0.3626,0.9843,0.0256,1859.6,3000,3.08,2141.3,0.71,0.3692,0.4877,0.5679,0.0428,0.05,0.2,0
18,11014,157,0.3659,0.9843,0.0256,1876.0,3000,3.11,2153.3,0.69,0.3479,0.4879,0.5681,0.0399,0.05,0.2,0
19,12000,167,0.3809,0.9843,0.0256,1922.8,3000,3.37,2255.6,0.67,0.3617,0.488,0.5682,0.0292,0.05,0.2,0
20,12938,1,0.0832,0.0832,0.0832,555.0,555,0.0,460.4,2.0,0.0,0.4987,0.5765,0.0,0.05,0.2,0
21,13192,183,0.3943,0.9846,0.0256,1966.1,3000,3.62,2332.0,0.65,0.3178,0.4873,0.5677,0.0563,0.05,0.2,0
22,14014,189,0.4041,0.9873,0.0256,1993.3,3000,3.91,2357.8,0.67,0.3465,0.487,0.5675,0.0242,0.05,0.2,0
23,15000,197,0.4146,0.9873,0.0256,2020.7,3000,4.13,2410.8,0.7,0.3458,0.4866,0.5672,0.042,0.05,0.2,0
24,15938,158,0.5125,0.9873,0.2035,2416.4,3000,5.69,2809.2,0.66,0.3174,0.4848,0.5657,0.084,0.05,0.2,0
25,16487,164,0.5159,0.9873,0.2024,2418.0,3000,5.85,2815.5,0.7,0.3484,0.4846,0.5655,0.0928,0.05,0.2,0
26,17014,170,0.5219,0.9873,0.2024,2438.5,3000,5.92,2877.5,0.68,0.3366,0.4843,0.5652,0.0489,0.05,0.2,0
27,18000,177,0.5254,0.9873,0.1059,2447.3,3000,5.99,2896.3,0.67,0.3262,0.4837,0.5647,0.062,0.05,0.2,0
28,18497,1,0.0802,0.0802,0.0802,347.0,347,1.0,447.9,3.0,0.0,0.4733,0.5573,0.0,0.05,0.2,0
29,18938,1,0.0254,0.0254,0.0254,160.0,160,0.0,201.6,2.0,0.0,0.4729,0.5569,0.0,0.05,0.2,0
30,20014,151,0.6412,0.9873,0.325,2815.7,3000,8.35,3492.3,0.82,0.2565,0.4795,0.5612,0.1349,0.05,0.2,0
31,21000,1,0.0955,0.0955,0.0955,559.0,559,0.0,1049.4,2.0,0.0,0.4987,0.5841,0.0,0.05,0.2,0
32,21938,173,0.6464,0.9931,0.0955,2804.6,3000,8.66,3538.8,0.83,0.2842,0.4801,0.5619,0.0933,0.05,0.2,0
33,23014,2,0.1931,0.2365,0.1497,809.5,988,2.5,1131.0,4.0,0.1749,0.47,0.5523,0.8718,0.05,0.2,0
34,24000,1,0.152,0.152,0.152,808.0,808,1.0,962.0,2.0,0.0,0.4786,0.5621,0.0,0.05,0.2,0
35,24938,154,0.7283,0.9931,0.5364,2962.4,3000,11.05,3928.1,1.03,0.2267,0.4766,0.5589,0.1799,0.05,0.2,0
36,26014,1,0.0253,0.0253,0.0253,152.0,152,0.0,251.0,2.0,0.0,0.4756,0.5597,0.0,0.05,0.2,0
37,26625,1,0.0785,0.0785,0.0785,336.0,336,1.0,434.3,3.0,0.0,0.4738,0.5613,0.0,0.05,0.2,0
38,27000,179,0.7026,0.9931,0.0253,2869.7,3000,10.54,3782.9,1.15,0.2133,0.476,0.5585,0.2133,0.05,0.2,0
39,27938,188,0.7023,0.9931,0.0253,2852.1,3000,10.64,3755.4,1.25,0.2078,0.4757,0.5584,0.2564,0.05,0.2,0
40,29014,1,0.0384,0.0384,0.0384,267.0,267,0.0,139.2,2.0,0.0,0.4748,0.5604,0.0,0.05,0.2,0
41,29625,157,0.7695,0.9931,0.6012,2974.7,3000,12.69,3990.4,1.38,0.1798,0.475,0.558,0.3235,0.05,0.2,0
42,30011,1,0.0286,0.0286,0.0286,186.0,186,0.0,188.3,2.0,0.0,0.4681,0.5522,0.0,0.05,0.2,0
43,30938,1,0.1135,0.1135,0.1135,706.0,706,0.0,970.3,1.0,0.0,0.4675,0.559,0.0,0.05,0.2,0
44,31568,1,0.0878,0.0878,0.0878,554.0,554,0.0,697.9,2.0,0.0,0.472,0.5583,0.0,0.05,0.2,0
45,32014,186,0.7359,0.9931,0.0286,2863.1,3000,11.95,3803.7,1.49,0.1939,0.4744,0.5578,0.4396,0.05,0.2,0
46,32625,1,0.0285,0.0285,0.0285,175.0,175,0.0,259.7,2.0,0.0,0.4771,0.5601,0.0,0.05,0.2,0
47,33011,2,0.0252,0.0253,0.0252,155.0,156,0.0,228.3,2.0,0.039,0.4692,0.5534,0.8479,0.05,0.2,0
48,33938,2,0.0269,0.0289,0.025,160.5,171,0.0,277.4,2.0,0.1195,0.4779,0.5634,0.8348,0.05,0.2,0
49,34694,1,0.0374,0.0374,0.0374,229.0,229,0.0,345.2,2.0,0.0,0.4645,0.5477,0.0,0.05,0.2,0
50,35014,1,0.0461,0.0461,0.0461,293.0,293,0.0,351.8,2.0,0.0,0.4696,0.5585,0.0,0.05,0.2,0
51,36011,185,0.7569,0.9931,0.025,2846.5,3000,12.88,3805.4,1.76,0.147,0.474,0.5578,0.3824,0.05,0.2,0
52,36938,196,0.7479,0.9931,0.025,2830.2,3000,12.57,3788.8,1.73,0.175,0.4739,0.5578,0.3945,0.05,0.2,0
53,38014,158,0.8169,0.9931,0.6351,2977.7,3000,14.55,4008.2,1.79,0.1503,0.4727,0.557,0.4162,0.05,0.2,0
54,39011,1,0.1525,0.1525,0.1525,824.0,824,1.0,883.0,2.0,0.0,0.4695,0.552,0.0,0.05,0.2,0
55,39938,3,0.0733,0.1147,0.0256,468.0,739,0.0,542.8,1.67,0.1057,0.4784,0.565,0.8162,0.05,0.2,0
56,40589,185,0.7822,0.9931,0.0256,2878.0,3000,13.75,3873.7,1.94,0.1467,0.4729,0.5574,0.6463,0.05,0.2,0
57,41014,192,0.7793,0.9931,0.0256,2870.2,3000,13.67,3863.4,1.92,0.1356,0.4729,0.5574,0.5276,0.05,0.2,0
58,41630,1,0.0429,0.0429,0.0429,265.0,265,0.0,378.6,2.0,0.0,0.467,0.553,0.0,0.05,0.2,0
59,42011,154,0.8387,0.9931,0.6474,2987.6,3000,15.52,4001.5,1.93,0.1272,0.4724,0.557,0.6196,0.05,0.2,0
60,42849,1,0.1533,0.1533,0.1533,838.0,838,1.0,828.9,2.0,0.0,0.4714,0.556,0.0,0.05,0.2,0
61,43047,166,0.817,0.9931,0.1002,2930.6,3000,14.94,3917.0,1.99,0.1351,0.4722,0.5569,0.436,0.05,0.2,0
62,43696,172,0.8065,0.9986,0.1002,2898.0,3000,14.74,3868.4,2.03,0.1367,0.4722,0.5569,0.3451,0.05,0.2,0
63,44014,178,0.7992,0.9986,0.1002,2876.4,3000,14.56,3831.5,2.02,0.1324,0.4721,0.5569,0.5666,0.05,0.2,0
64,44630,2,0.0703,0.1008,0.0397,432.5,611,0.0,631.3,2.0,0.1611,0.469,0.5558,0.8457,0.05,0.2,0
65,45011,193,0.7777,0.9986,0.0397,2820.4,3000,13.99,3743.6,2.09,0.1366,0.472,0.5568,0.6498,0.05,0.2,0
66,45849,1,0.1436,0.1436,0.1436,420.0,420,3.0,628.9,5.0,0.0,0.469,0.5554,0.0,0.05,0.2,0
67,46446,156,0.8532,0.9986,0.5446,2980.6,3000,16.19,3967.4,2.39,0.1149,0.4719,0.5569,0.6023,0.05,0.2,0
68,46696,162,0.8396,0.9986,0.1521,2944.4,3000,15.84,3916.1,2.38,0.112,0.4719,0.557,0.8022,0.05,0.2,0
69,47630,171,0.8302,0.9986,0.0823,2925.1,3000,15.57,3895.8,2.4,0.1166,0.4718,0.557,0.654,0.05,0.2,0
70,48011,2,0.0476,0.0583,0.0369,306.0,370,0.0,340.5,2.0,0.182,0.4676,0.5525,0.8538,0.05,0.2,0
71,48511,184,0.8038,0.9986,0.0369,2850.2,3000,14.92,3788.9,2.45,0.115,0.4718,0.5569,0.6559,0.05,0.2,0
72,48849,1,0.0383,0.0383,0.0383,240.0,240,0.0,314.0,2.0,0.0,0.4664,0.5522,0.0,0.05,0.2,0
73,49446,3,0.0467,0.0811,0.0255,241.7,359,0.33,306.2,2.33,0.1911,0.4704,0.5557,0.8633,0.05,0.2,0
74,50028,155,0.8607,0.9986,0.2023,2965.9,3000,16.61,3986.9,2.61,0.1188,0.4721,0.5572,0.69,0.05,0.2,0
75,50630,2,0.0525,0.072,0.033,321.0,441,0.0,483.2,2.0,0.1025,0.472,0.5569,0.8413,0.05,0.2,0
76,51011,1,0.0405,0.0405,0.0405,264.0,264,0.0,264.0,2.0,0.0,0.4763,0.5594,0.0,0.05,0.2,0
77,51511,1,0.0983,0.0983,0.0983,472.0,472,1.0,517.8,3.0,0.0,0.4643,0.5498,0.0,0.05,0.2,0
78,52039,181,0.8132,0.9986,0.033,2840.8,3000,15.35,3834.9,2.58,0.1203,0.4721,0.5574,0.693,0.05,0.2,0
79,53028,189,0.8108,0.9986,0.033,2847.5,3000,15.16,3841.7,2.55,0.0976,0.472,0.5573,0.8011,0.05,0.2,0
80,53630,1,0.0254,0.0254,0.0254,162.0,162,0.0,192.3,2.0,0.0,0.4703,0.5524,0.0,0.05,0.2,0
81,54011,153,0.8834,0.9986,0.7611,2994.5,3000,17.38,4034.2,2.52,0.1152,0.472,0.5573,0.743,0.05,0.2,0
82,54511,161,0.8734,0.9986,0.2042,2977.5,3000,17.04,4000.4,2.53,0.0946,0.472,0.5572,0.742,0.05,0.2,0
83,55039,167,0.8619,0.9986,0.1149,2953.6,3000,16.68,3973.4,2.56,0.1083,0.4719,0.5572,0.6972,0.05,0.2,0
84,55783,2,0.024,0.0256,0.0224,158.0,168,0.0,148.2,2.5,0.157,0.4712,0.5574,0.8172,0.05,0.2,0
85,56155,2,0.0445,0.0599,0.0291,273.5,372,0.0,401.8,2.0,0.1023,0.4723,0.5584,0.8061,0.05,0.2,0
86,57011,190,0.8186,0.9986,0.0224,2849.6,3000,15.48,3832.7,2.55,0.1111,0.4719,0.5573,0.6871,0.05,0.2,0
87,57511,1,0.0583,0.0583,0.0583,382.0,382,0.0,367.0,2.0,0.0,0.4772,0.5655,0.0,0.05,0.2,0
