generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,fitness_std,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
1,500,30,30,0,500,500.0,500.0,0.1172,0.298,0.07,0.105,0.1442,0.1698,0.0485,0.3699,3.8947,0.1202,0.5522,-0.1159,0.5771,0.4333,0.0,0.0,0.1,0.2,0.2667,0,0,0,0.9784,0.4846,0.5639,10.8951,0,0
1,1000,27,30,3,1000,1000.0,1000.0,0.2242,0.5208,0.1466,0.2106,0.257,0.3046,0.0797,0.3614,4.1343,0.1514,0.5585,-0.1255,0.5435,0.4444,0.0,0.0,0.1481,0.2593,0.1481,0,3,0,0.9805,0.4846,0.5642,10.918,4,11
1,1500,23,30,7,1500,1500.0,1500.0,0.3408,0.7924,0.2374,0.2985,0.3938,0.4809,0.1258,0.3454,3.8492,0.2192,0.5021,-0.0999,0.5506,0.4348,0.0,0.0,0.1739,0.3043,0.087,0,4,0,0.9803,0.485,0.5646,10.9158,6,8
1,2000,17,30,13,2000,2000.0,2000.0,0.4559,0.8667,0.325,0.3831,0.5417,0.612,0.1441,0.2952,3.2928,0.306,0.3821,-0.1954,0.5043,0.5294,0.0,0.0,0.0,0.2941,0.1765,0,6,0,0.9797,0.4857,0.5656,10.9093,11,9
2,2500,19,36,17,2500,1772.1,2500.0,0.4269,0.9333,0.034,0.4542,0.6583,0.7288,0.2855,0.302,3.6163,0.2699,0.3698,0.0163,0.5359,0.3684,0.0,0.0,0.0526,0.3158,0.2632,6,4,4,0.9727,0.4882,0.5688,10.8314,6,2
3,3000,20,51,31,695,173.8,0.0,0.0372,0.2105,0.0,0.0,0.0249,0.1551,0.0676,0.0974,1.3918,0.0617,0.1471,0.0192,0.2691,0.1,0.8,0.0,0.0,0.1,0.0,15,14,8,0.9207,0.4918,0.5778,10.2524,142,15
3,3500,20,51,31,1195,673.8,500.0,0.1736,0.3534,0.0818,0.1729,0.2197,0.2586,0.0733,0.2716,3.2037,0.1124,0.2393,0.1414,0.5631,0.25,0.0,0.0,0.0,0.25,0.5,0,0,8,0.9207,0.4918,0.5778,10.2524,0,0
3,4000,19,51,32,1695,1146.3,1000.0,0.2902,0.4713,0.1849,0.2945,0.354,0.4135,0.0887,0.265,3.1556,0.1104,0.2708,0.1517,0.5214,0.2105,0.0,0.0,0.0526,0.2632,0.4737,0,1,8,0.9124,0.4918,0.5784,10.1602,0,0
3,4500,16,51,35,2195,1630.3,1500.0,0.4204,0.603,0.2837,0.4172,0.5046,0.5543,0.1066,0.2463,2.8278,0.0965,0.2512,0.221,0.5059,0.1875,0.0,0.0,0.0625,0.25,0.5,0,3,8,0.9174,0.4945,0.5804,10.2157,3,3
3,5000,15,51,36,2695,2092.7,2000.0,0.5464,0.8417,0.3655,0.5431,0.6042,0.7673,0.1497,0.2405,2.9736,0.127,0.2676,0.2406,0.4682,0.2,0.0,0.0,0.0667,0.2667,0.4667,0,1,8,0.9096,0.4942,0.58,10.1288,2,0
4,5500,16,57,41,2500,1857.8,2500.0,0.4859,0.9333,0.1001,0.5583,0.6833,0.7583,0.2644,0.2515,3.25,0.2306,0.3398,0.3183,0.4282,0.125,0.0,0.0,0.0625,0.4375,0.375,6,5,5,0.9042,0.4919,0.5789,10.0685,27,8
5,6000,20,72,52,945,236.2,0.0,0.0608,0.3237,0.0,0.0,0.0466,0.2213,0.109,0.1265,1.3918,0.1436,0.2582,0.1054,0.2855,0.05,0.0,0.0,0.0,0.2,0.75,15,11,8,0.9038,0.4975,0.5855,10.0646,126,7
5,6500,17,72,55,1445,666.8,500.0,0.209,0.4413,0.0968,0.1512,0.2875,0.4259,0.1206,0.2993,3.3816,0.2891,0.4512,0.4239,0.4804,0.1176,0.0,0.0,0.1176,0.5882,0.1765,0,3,8,0.9092,0.4978,0.5853,10.1247,1,3
5,7000,17,72,55,1945,1166.8,1000.0,0.3538,0.6185,0.2296,0.2964,0.5057,0.5458,0.1358,0.2793,3.1751,0.2784,0.393,0.3914,0.4825,0.1176,0.0,0.0,0.1176,0.5294,0.2353,0,0,8,0.9092,0.4978,0.5853,10.1247,0,0
5,7500,15,72,57,2445,1626.0,1500.0,0.4807,0.79,0.3472,0.4071,0.5839,0.6434,0.1373,0.2651,2.9232,0.2947,0.3856,0.4081,0.4437,0.0667,0.0,0.0,0.1333,0.6667,0.1333,0,2,8,0.8862,0.5035,0.5903,9.8684,8,7
6,8000,20,78,58,2945,1627.4,2000.0,0.4694,0.8667,0.0899,0.5154,0.6417,0.8446,0.2641,0.2673,3.3219,0.317,0.3181,0.3005,0.5044,0.15,0.0,0.0,0.05,0.6,0.2,6,1,5,0.9102,0.5002,0.5877,10.1357,1,0
6,8500,17,78,61,2500,1950.5,2500.0,0.5533,0.9333,0.2085,0.6158,0.7083,0.8583,0.257,0.2696,2.934,0.2424,0.3017,0.2567,0.5164,0.1765,0.0,0.0,0.0588,0.4706,0.2941,0,3,5,0.9076,0.5013,0.5887,10.1065,28,5
7,9000,20,93,73,1443,360.8,0.0,0.0882,0.4576,0.0,0.0,0.0693,0.3609,0.156,0.1006,1.0219,0.0495,0.1273,-0.0264,0.2946,0.1,0.75,0.0,0.0,0.05,0.1,15,12,11,0.9218,0.5078,0.5963,10.2642,164,25
7,9500,19,93,74,1943,879.7,500.0,0.2114,0.5341,0.0853,0.1222,0.3207,0.4388,0.1497,0.317,3.4714,0.0802,0.4101,0.2326,0.5574,0.1579,0.0,0.0,0.2632,0.3158,0.2632,0,1,11,0.9275,0.507,0.5951,10.328,0,3
7,10000,17,93,76,2443,1424.4,1000.0,0.3465,0.6757,0.1766,0.2704,0.504,0.5529,0.1606,0.3209,3.4548,0.0461,0.3733,0.2034,0.5863,0.1765,0.0,0.0,0.2941,0.2353,0.2941,0,2,11,0.9162,0.5044,0.5919,10.2029,1,4
8,10500,20,99,79,2943,1471.7,1500.0,0.3642,0.7424,0.0395,0.3661,0.592,0.6574,0.2409,0.2833,3.4464,0.0661,0.3473,0.2847,0.5212,0.15,0.0,0.0,0.15,0.3,0.4,6,3,5,0.9031,0.4983,0.5862,10.056,2,4
9,11000,16,105,89,2000,1090.0,703.0,0.3195,0.8667,0.1254,0.2003,0.4542,0.6213,0.2221,0.2378,3.0778,0.1663,0.4514,0.5333,0.2577,0.0,0.0,0.0,0.125,0.375,0.5,6,10,5,0.8921,0.4989,0.5886,9.9341,53,18
9,11500,16,105,89,2500,1590.0,1203.0,0.4373,0.9333,0.2347,0.3494,0.5458,0.7583,0.217,0.2353,2.8522,0.1711,0.4587,0.5403,0.2371,0.0,0.0,0.0,0.1875,0.375,0.4375,0,0,5,0.8921,0.4989,0.5886,9.9341,0,0
11,12000,20,118,98,1703,626.0,312.0,0.1968,0.6777,0.0,0.0989,0.4406,0.4952,0.2189,0.2365,2.6842,0.1015,0.4012,0.38,0.366,0.0,0.0,0.0,0.15,0.3,0.55,13,9,5,0.9179,0.4984,0.587,10.2208,89,11
11,12500,18,118,100,2203,1101.3,812.0,0.3167,0.7513,0.0829,0.2025,0.5412,0.6585,0.2262,0.3182,3.5724,0.2928,0.4741,0.3896,0.5133,0.1667,0.0,0.0,0.1667,0.5,0.1667,0,2,5,0.9044,0.4986,0.5877,10.0705,9,9
11,13000,16,118,102,2703,1657.0,1312.0,0.444,0.8534,0.1883,0.35,0.6479,0.768,0.2299,0.3368,3.5,0.2824,0.4791,0.359,0.5544,0.1875,0.0,0.0,0.1875,0.5,0.125,0,2,5,0.9175,0.4983,0.5874,10.2166,1,4
12,13500,15,124,109,2885,1370.2,1500.0,0.3317,0.8097,0.0578,0.32,0.4867,0.6024,0.2333,0.3546,3.3736,0.1837,0.4736,0.2931,0.6034,0.2,0.0,0.0,0.2,0.4667,0.1333,6,7,6,0.9144,0.5047,0.5947,10.1823,51,13
13,14000,16,130,114,2312,1195.9,807.0,0.2914,0.6083,0.1166,0.1813,0.4506,0.5792,0.1873,0.3209,3.4528,0.2138,0.4797,0.2757,0.4955,0.125,0.0,0.0,0.1875,0.5,0.1875,6,5,4,0.8984,0.5013,0.5929,10.004,23,3
13,14500,15,130,115,2812,1642.3,1307.0,0.4192,0.8749,0.2109,0.3561,0.593,0.6883,0.2063,0.3067,3.3736,0.1611,0.4298,0.2927,0.4949,0.1333,0.0,0.0,0.2,0.4667,0.2,0,1,4,0.8848,0.5002,0.5924,9.8523,2,0
14,15000,15,136,121,1807,1170.2,1495.0,0.3247,0.5398,0.1183,0.2975,0.4533,0.5158,0.1505,0.2906,3.1069,0.0903,0.4379,0.354,0.451,0.0667,0.0,0.0,0.3333,0.3333,0.2667,6,6,5,0.9038,0.505,0.594,10.0637,54,6
15,15500,19,142,123,2307,1244.1,975.0,0.3738,0.6883,0.1001,0.3383,0.5993,0.6484,0.22,0.2376,3.0761,0.227,0.4224,0.4479,0.3007,0.0,0.0,0.0,0.1579,0.4211,0.4211,6,2,6,0.9117,0.5015,0.5919,10.152,1,1
15,16000,18,142,124,2807,1702.3,1475.0,0.506,0.9077,0.2317,0.4948,0.7055,0.8045,0.2289,0.2444,2.933,0.2366,0.4253,0.4629,0.309,0.0,0.0,0.0,0.2222,0.5,0.2778,0,1,6,0.915,0.5019,0.5918,10.189,6,4
16,16500,20,148,128,2995,1386.4,1311.0,0.4175,0.9743,0.0328,0.3892,0.5911,0.8719,0.3082,0.2438,2.7332,0.2482,0.435,0.5572,0.3043,0.0,0.0,0.0,0.2,0.55,0.25,6,4,6,0.9017,0.5025,0.5945,10.0415,37,15
16,17000,16,148,132,2475,1589.5,1811.0,0.4496,0.93,0.1438,0.4993,0.6112,0.7607,0.2537,0.2418,2.8585,0.2273,0.4019,0.497,0.3385,0.0,0.0,0.0,0.1875,0.5,0.3125,0,4,6,0.9063,0.5048,0.597,10.0921,50,7
16,17500,16,148,132,2975,2089.5,2311.0,0.555,0.9967,0.2632,0.6024,0.7046,0.8274,0.232,0.2469,2.8994,0.2156,0.4097,0.4925,0.36,0.0625,0.0,0.0,0.125,0.4375,0.375,0,0,6,0.9063,0.5048,0.597,10.0921,0,0
17,18000,19,157,138,2811,1403.4,1667.0,0.3976,0.9748,0.1077,0.3291,0.5985,0.7848,0.2851,0.3105,3.3264,0.0309,0.5187,0.4431,0.4675,0.1053,0.0,0.0,0.3684,0.3158,0.2105,9,6,7,0.8928,0.5059,0.5984,9.9422,95,6
