generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_std,mature_agent_count,mature_average_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
1,500,27,30,3,500,500.0,500.0,0.1205,0.2661,0.0474,27,0.1205,0.0709,0.1086,0.1439,0.1789,0.351,4.2084,0.0473,0.5353,-0.0344,0.5379,0.2963,0.0,0.0,0.2593,0.2593,0.1852,0,3,0,0.9822,0.4891,0.5675,10.9374,1,9
1,1000,24,30,6,1000,1000.0,1000.0,0.2444,0.5545,0.0961,24,0.2444,0.151,0.2185,0.2782,0.3419,0.3437,3.9387,0.0986,0.5185,-0.0871,0.5341,0.375,0.0,0.0,0.1667,0.25,0.2083,0,3,0,0.9817,0.4889,0.5671,10.9313,2,7
1,1500,20,30,10,1500,1500.0,1500.0,0.3829,0.7659,0.1469,20,0.3829,0.2419,0.3444,0.4274,0.5636,0.3337,4.0219,0.0279,0.4923,-0.0894,0.5262,0.35,0.0,0.0,0.25,0.25,0.15,0,4,0,0.9816,0.4885,0.5668,10.9302,4,4
1,2000,15,30,15,2000,2000.0,2000.0,0.5196,0.8476,0.1658,15,0.5196,0.3483,0.4628,0.6292,0.7789,0.3431,3.4566,0.01,0.5281,-0.0079,0.5148,0.3333,0.0,0.0,0.1333,0.2667,0.2667,0,5,0,0.987,0.4903,0.5681,10.9904,12,14
2,2500,17,36,19,2500,1891.2,2500.0,0.4868,0.9259,0.2893,17,0.4868,0.0862,0.5354,0.6583,0.8535,0.3368,3.5725,0.0554,0.5156,0.0169,0.5164,0.3529,0.0,0.0,0.1176,0.2941,0.2353,6,4,3,0.9796,0.4928,0.5731,10.9088,7,7
3,3000,20,51,31,930,232.5,0.0,0.049,0.2765,0.0875,5,0.1959,0.1579,0.1884,0.1956,0.2442,0.0747,1.2918,0.0678,0.1311,-0.0015,0.1965,0.1,0.75,0.0,0.0,0.1,0.05,15,12,8,0.9717,0.5025,0.5847,10.8204,150,40
3,3500,16,51,35,1430,674.4,500.0,0.1681,0.3614,0.0735,16,0.1681,0.1026,0.1395,0.2014,0.2642,0.3308,3.1556,-0.0185,0.5476,0.2733,0.4602,0.125,0.0,0.0,0.3125,0.3125,0.25,0,4,8,0.9694,0.4975,0.5815,10.7945,3,9
4,4000,19,57,38,1930,859.5,1000.0,0.2067,0.3838,0.1203,19,0.2067,0.037,0.2416,0.3014,0.3582,0.3703,3.5369,0.0167,0.6033,0.127,0.5258,0.2632,0.0,0.7368,0.0,0.0,0.0,6,3,5,0.9537,0.4925,0.5763,10.6198,6,8
4,4500,16,57,41,2430,1427.5,1500.0,0.3438,0.5624,0.1475,16,0.3438,0.1225,0.3689,0.4734,0.5221,0.375,3.625,0.0273,0.6004,0.015,0.528,0.375,0.0,0.625,0.0,0.0,0.0,0,3,5,0.9643,0.4947,0.5789,10.7382,3,9
4,5000,15,57,42,2930,1922.7,2000.0,0.4392,0.67,0.1488,15,0.4392,0.2334,0.4694,0.5481,0.608,0.3669,3.3232,0.0984,0.5617,-0.025,0.5464,0.4,0.0,0.0,0.2,0.3333,0.0667,0,1,5,0.9646,0.4948,0.5785,10.7418,1,0
6,5500,20,70,50,2500,1060.1,430.0,0.2363,0.7767,0.2481,14,0.336,0.0714,0.3116,0.5499,0.6008,0.3301,3.7842,-0.0254,0.4719,-0.0518,0.5252,0.4,0.0,0.0,0.25,0.25,0.1,13,8,4,0.903,0.4825,0.568,10.0551,30,13
7,6000,20,76,56,2245,660.1,522.0,0.1671,0.4287,0.1414,14,0.2387,0.1053,0.2324,0.3299,0.3698,0.2179,2.8219,-0.0124,0.3351,-0.1002,0.3899,0.25,0.0,0.0,0.15,0.15,0.45,6,6,5,0.9124,0.485,0.5689,10.1604,48,20
7,6500,16,76,60,2745,1176.2,1022.0,0.3048,0.5769,0.1621,16,0.3048,0.1169,0.2693,0.4579,0.5246,0.3095,3.75,0.1078,0.5125,-0.0323,0.4076,0.3125,0.0,0.0,0.1875,0.3125,0.1875,0,4,5,0.8902,0.4828,0.5652,9.9125,9,19
8,7000,18,82,64,1930,1090.3,1000.0,0.3235,0.7606,0.2235,18,0.3235,0.045,0.2741,0.4834,0.6612,0.3008,3.8366,-0.0094,0.5583,0.1221,0.3307,0.1111,0.0,0.0,0.3333,0.3889,0.1667,6,4,5,0.9236,0.486,0.5698,10.2847,9,5
8,7500,15,82,67,2430,1623.9,1500.0,0.4657,0.8452,0.2357,15,0.4657,0.1768,0.4079,0.6286,0.8083,0.2926,3.1396,0.0607,0.5625,0.1018,0.2979,0.0667,0.0,0.0,0.3333,0.5333,0.0667,0,3,5,0.9167,0.4852,0.5676,10.2081,9,12
9,8000,17,88,71,2930,1676.2,2000.0,0.4706,0.9363,0.2947,17,0.4706,0.1152,0.4368,0.7157,0.8789,0.309,2.9842,0.0452,0.5383,0.2339,0.3869,0.0,0.0,0.0,0.3529,0.5294,0.1176,6,4,5,0.9445,0.4917,0.5756,10.517,9,13
10,8500,16,95,79,2500,1073.1,981.0,0.2878,0.8833,0.211,16,0.2878,0.0712,0.2796,0.3761,0.4857,0.3085,3.3278,0.0145,0.4633,0.0984,0.4796,0.25,0.0,0.0,0.3125,0.3125,0.125,7,8,6,0.9466,0.4969,0.5826,10.5408,105,29
11,9000,20,102,82,2245,912.0,930.0,0.2294,0.5818,0.2082,13,0.353,0.1536,0.3619,0.4674,0.5598,0.2512,2.8219,-0.0643,0.3683,0.0648,0.4362,0.2,0.0,0.0,0.2,0.2,0.4,7,3,6,0.9517,0.4961,0.5825,10.5974,27,6
11,9500,17,102,85,2745,1299.0,1430.0,0.3273,0.6959,0.1969,17,0.3273,0.1059,0.2938,0.4891,0.5932,0.3462,3.4992,-0.0912,0.508,-0.0697,0.5318,0.4118,0.0,0.0,0.1765,0.2353,0.1765,0,3,6,0.9509,0.4959,0.5819,10.5885,9,9
12,10000,19,108,89,2481,1279.9,1000.0,0.33,0.8073,0.2201,19,0.33,0.0386,0.2988,0.4841,0.6408,0.3376,3.5766,0.0043,0.4843,-0.0154,0.537,0.3684,0.0,0.0,0.1579,0.3158,0.1579,6,4,5,0.9421,0.4999,0.5853,10.491,14,5
12,10500,16,108,92,2981,1681.7,1500.0,0.4655,0.899,0.2455,16,0.4655,0.1297,0.4364,0.6679,0.7975,0.3293,3.625,0.1246,0.4386,0.007,0.5508,0.4375,0.0,0.0,0.125,0.25,0.1875,0,3,5,0.9534,0.5006,0.5861,10.6161,5,1
13,11000,16,114,98,2930,1616.2,1622.5,0.4501,0.9907,0.3048,16,0.4501,0.0982,0.4647,0.726,0.7883,0.2738,3.4528,-0.0027,0.4017,-0.0231,0.4316,0.3125,0.0,0.0,0.1875,0.25,0.25,6,6,6,0.9328,0.4991,0.5878,10.3869,37,26
14,11500,17,122,105,2500,1278.8,981.0,0.3558,0.902,0.2815,17,0.3558,0.0829,0.2678,0.5241,0.8541,0.2979,3.4548,-0.055,0.4653,-0.0876,0.4507,0.4118,0.0,0.0,0.1765,0.2353,0.1765,8,7,8,0.9113,0.5021,0.5908,10.1483,52,12
15,12000,20,130,110,2245,799.7,930.0,0.2006,0.8993,0.222,12,0.3343,0.1694,0.315,0.3673,0.4469,0.227,2.7955,0.0377,0.3809,-0.001,0.3738,0.25,0.0,0.0,0.05,0.2,0.5,8,5,8,0.9336,0.5019,0.5931,10.3959,73,6
